propertyType,price,size,rooms,bathrooms,municipality,exterior,hasLift,hasPlan,has360,distancia_centro
flat,695.0,67.0,2 habitaciones,1 aseo,Fuenlabrada,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,650.0,95.0,3 habitaciones,1 aseo,Navalcarnero,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,675.0,68.0,2 habitaciones,1 aseo,Alcalá de Henares,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 30 y 40 km
flat,695.0,65.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,750.0,111.0,2 habitaciones,2 aseos,Parla,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,675.0,35.0,1 habitacion,1 aseo,Madrid,vista interior,desconocido,desconocido,desconocido,Entre 1 y 5 km
flat,730.0,60.0,3 habitaciones,1 aseo,Parla,vista interior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 20 y 30 km
flat,690.0,85.0,2 habitaciones,1 aseo,Parla,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,750.0,45.0,1 habitacion,1 aseo,Madrid,vista interior,no tiene ascensor,tiene planos,no tiene fotos 360,Entre 5 y 10 km
studio,600.0,32.0,sin habitaciones,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
studio,723.0,25.0,sin habitaciones,1 aseo,Rivas-Vaciamadrid,vista exterior,tiene ascensor,tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,725.0,50.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,750.0,67.0,3 habitaciones,1 aseo,Getafe,vista exterior,desconocido,desconocido,desconocido,Entre 10 y 20 km
flat,600.0,45.0,2 habitaciones,1 aseo,Mataelpino,vista exterior,desconocido,desconocido,desconocido,Entre 40 y 50 km
flat,750.0,70.0,3 habitaciones,1 aseo,San Fernando de Henares,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
penthouse,450.0,60.0,1 habitacion,1 aseo,Villa del Prado,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Mas de 50 km
