,propertyType,status,price,size,rooms,bathrooms,floor,neighborhood,address,district,province,municipality,exterior,hasLift,hasPlan,has3DTour,has360,distance,latitude,longitude
219,flat,good,650.0,95.0,2,2,4,,Calle Joan Miro,El Quiñón,Toledo,Seseña,True,True,False,False,False,32207,401280863.0,-36710106.0
220,flat,good,725.0,50.0,1,1,1,Rejas,"DEYANIRA, 59",San Blas,Madrid,Madrid,True,True,True,False,False,10503,404430571.0,-3584077.0
221,flat,,750.0,67.0,3,1,,,Avenida España,,Madrid,Getafe,True,,,,,11657,403127355.0,-37210287.0
222,flat,,600.0,45.0,2,1,,,Higuera,,Madrid,Mataelpino,True,,,,,41003,407351814.0,-39480239.0
223,flat,good,750.0,70.0,3,1,2,,Calle de la Presa,Montserrat - Parque Empresarial,Madrid,San Fernando de Henares,True,False,False,False,False,14642,404265112.0,-35307456.0
224,penthouse,good,450.0,60.0,1,1,,,Calle Hortensia,,Madrid,Villa del Prado,True,False,False,False,False,53238,402789466.0,-43049356.0
225,flat,good,550.0,105.0,3,1,2,,Travesía Beatriz,,Toledo,El Viso de San Juan,True,False,False,False,False,35598,401438987.0,-39229105.0
226,flat,good,720.0,54.0,1,1,bj,San Isidro,Calle de Rascón,Carabanchel,Madrid,Madrid,True,False,True,False,True,3296,403938982.0,-37281276.0
227,penthouse,good,550.0,75.0,2,2,,,Calle Hortensia,,Madrid,Villa del Prado,True,False,False,False,False,53247,402796466.0,-43053356.0
228,flat,good,720.0,49.0,3,1,3,San Cristóbal,Calle de Godella,Villaverde,Madrid,Madrid,False,False,True,False,True,8411,403418997.0,-36883697.0
229,flat,good,740.0,65.0,3,1,1,Ambroz,Calle Sacrificio,Vicálvaro,Madrid,Madrid,True,True,False,False,False,8443,404049726.0,-36047164.0
230,flat,,660.0,155.0,3,2,,,Calle de Versalles,,Madrid,Aranjuez,False,,,,,41119,400565099.0,-35934267.0
231,flat,good,720.0,56.0,2,1,4,Los Rosales,Calle de Sáhara,Villaverde,Madrid,Madrid,False,False,True,False,True,6691,403571834.0,-36915155.0
232,flat,good,650.0,31.0,1,1,3,Lavapiés-Embajadores,Calle del Doctor Fourquet,Centro,Madrid,Madrid,False,False,False,False,False,1207,404064335.0,-36985906.0
233,flat,good,650.0,96.0,2,1,3,,Calle de San Juan,Nuevo Aranjuez-Ciudad de las Artes,Madrid,Aranjuez,True,False,True,False,True,43953,400299792.0,-3595984.0
234,flat,good,660.0,168.0,4,2,3,,Calle Acrópolis de Atenas,La Montaña-El Cortijo,Madrid,Aranjuez,False,True,True,False,True,41221,400557898.0,-35922225.0
235,flat,good,690.0,64.0,2,1,bj,,Val,Val,Madrid,Alcalá de Henares,True,False,False,False,False,30634,404834597.0,-33519837.0
236,studio,good,750.0,25.0,0,1,5,Lista,Calle de Francisco Silvela,Barrio de Salamanca,Madrid,Madrid,True,True,True,False,False,3177,404282477.0,-36689173.0
237,chalet,good,750.0,216.0,3,2,,,Calle Venezuela,,Toledo,Mocejón,False,,False,False,False,56881,399332884.0,-39223194.0
238,flat,good,725.0,45.0,1,1,2,Rejas,"Calle de la Pirra, 44",San Blas,Madrid,Madrid,True,True,True,False,False,10508,40444004.0,-3584382.0
239,flat,good,620.0,85.0,1,1,bj,,Calle de Pedro Faura,San José - Buenos Aires,Madrid,Pinto,False,True,True,False,True,19767,402389218.0,-37030263.0
240,flat,good,590.0,52.0,1,1,bj,,Los Molinos,,Madrid,Los Molinos,True,False,False,False,False,44526,407039311.0,-40705474.0
241,penthouse,good,750.0,80.0,0,1,1,,Zona Industrial,Zona Industrial,Madrid,Tres Cantos,True,True,False,False,False,20818,406038483.0,-36957713.0
242,studio,good,720.0,36.0,0,1,2,San Juan Bautista,barrio San Juan Bautista,Ciudad Lineal,Madrid,Madrid,True,True,False,False,True,5975,404514903.0,-3649443.0
243,flat,good,700.0,82.0,2,1,3,,San Pedro Regalado,Centro - Casco Histórico,Madrid,San Lorenzo de el Escorial,True,False,False,False,False,42463,405938213.0,-41482372.0
244,flat,good,750.0,155.0,3,2,bj,,Calle Carlos Zabaleta,Señorío de Illescas,Toledo,Illescas,False,True,False,False,False,31750,401493667.0,-38348124.0
245,flat,newdevelopment,692.0,83.0,2,2,,,"Calle Valle de Ambles, 2",Suroeste,Madrid,Torrejón de Ardoz,True,True,True,False,False,20294,404430651.0,-34659877.0
